"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","CD Name","FullName","Gene Class","Cell Type","IR Type","Immune Response Category","Annotation"
"ITGAE",0.41087944720054,7.1717568168169,4.36452082092766,9.24327651582113e-05,0.0166977738634856,1.36480890469466,3682,"CD103","integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)","Immune Response",NA,NA,"Adhesion","Adhesion, CD molecules"
"ITGAM",-0.42516099548418,9.85729105661161,-3.42228974069072,0.00148473409428473,0.0396022521236486,-1.13236639640425,3684,"CD11B","integrin, alpha M (complement component 3 receptor 3 subunit)","Immune Response",NA,"I","Adhesion, Transporter Functions","Adhesion, CD molecules, Innate immune response, Receptors involved in phagocytosis"
"JAK1",-0.285985203692784,10.3746656038927,-3.67604000929821,0.00071960655315942,0.0286162776319088,-0.484709422427583,3716,NA,"Janus kinase 1","Immune Response",NA,"I","Cytokines, Regulation","Cytokines and receptors, Innate immune response, Positive regulation of immune response"
"KIR2DL1",-0.652119477036629,5.87768185802826,-3.15664565626242,0.00309564299590728,0.0582847566445815,-1.78493547040571,3802,NA,NA,NA,NA,NA,NA,NA
"LAMP1",-0.378877573722008,10.3632315918911,-4.52920829618706,5.57582932320131e-05,0.0139395733080033,1.82222201043351,3916,"CD107a","lysosomal-associated membrane protein 1","Immune Response",NA,NA,"Transporter Functions","Autophagy induction by intracellular pathogens, CD molecules, Genes linking autophagosome to lysosome"
"LY96",0.633274398282354,8.56352372014025,2.79637839013374,0.00801955224509818,0.0986010521938301,-2.62090005048525,23643,NA,"lymphocyte antigen 96","Immune Response",NA,"I",NA,"Innate immune response"
"MAP2K1",-0.234979054228507,8.86569394226373,-3.07739131730442,0.00383453382841752,0.0668814039840265,-1.97397757093825,5604,NA,"mitogen-activated protein kinase kinase 1","Immune Response",NA,"I",NA,"Innate immune response"
"MAP3K1",-0.23179597435089,10.3623658911508,-3.1774228151347,0.00292551801613103,0.0577404871604809,-1.73492760085691,4214,NA,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase","Immune Response",NA,"I",NA,"Innate immune response"
"MAP3K7",0.123948683753065,9.34102843841379,2.85385928874372,0.0069155026029021,0.0951981020218281,-2.49169042536149,6885,NA,"mitogen-activated protein kinase kinase kinase 7","Immune Response",NA,"I",NA,"Innate immune response"
"MAVS",-0.21171586507651,8.70875002579368,-3.37392990612131,0.00170043318785823,0.0411395126094732,-1.25321952452408,57506,NA,"mitochondrial antiviral signaling protein","Immune Response",NA,"I",NA,"Innate immune response"
"NFATC1",-0.359360836874469,7.58057052789599,-5.46636958105481,2.9509343203666e-06,0.00221320074027495,4.48466483421213,4772,NA,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1","Immune Response",NA,NA,"Regulation","Transcription factors, Transcriptional regulators"
"NOTCH1",-0.447961056679762,8.50582787975391,-2.92653446489186,0.00572237771575519,0.0847512306219426,-2.32597470430019,4851,NA,"notch 1","Immune Response",NA,NA,"Regulation","Transcriptional regulators"
"PIK3CD",-0.349015233582639,10.831415121265,-3.65573695233138,0.0007631007368509,0.0286162776319088,-0.537317984952377,5293,NA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta","Immune Response",NA,"A;I",NA,"Adaptive immune response, Innate immune response"
"REL",0.178255985920251,7.65345778867141,2.98369769910409,0.00492248100050227,0.0780478869831346,-2.19383955317806,5966,NA,"v-rel reticuloendotheliosis viral oncogene homolog (avian)","Immune Response",NA,NA,"Regulation","Transcription factors"
"RELA",-0.268654159281023,7.74941515258023,-3.90159089336364,0.00037202500594306,0.0232515628714414,0.108024775961765,5970,NA,"v-rel reticuloendotheliosis viral oncogene homolog A (avian)","Immune Response",NA,"I",NA,"Innate immune response"
"RPS6",0.709000743881296,12.9971472381511,3.98257452467914,0.00029260599335536,0.021945449501652,0.324284201676485,6194,NA,"ribosomal protein S6","Immune Response",NA,NA,"Cell Functions","T-cell proliferation"
"S100A8",1.14923763671655,12.766821167235,3.4589540782123,0.00133892033665711,0.0396022521236486,-1.04016624605544,6279,NA,"S100 calcium binding protein A8","Immune Response",NA,"F",NA,"Inflammatory response"
"SELPLG",-0.288482412156564,10.8533805979272,-3.3767122785278,0.00168725084545157,0.0411395126094732,-1.24629002187956,6404,"CD162","selectin P ligand","Immune Response",NA,NA,NA,"CD molecules"
"STAT3",-0.289537912036069,11.133493471648,-2.9232205921265,0.00577229800035366,0.0847512306219426,-2.33358706447604,6774,NA,"signal transducer and activator of transcription 3 (acute-phase response factor)","Immune Response",NA,"F","Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators"
"TANK",0.361817465303952,10.8031427916542,3.43096345022512,0.00144892476032722,0.0396022521236486,-1.11059877520824,10010,NA,"TRAF family member-associated NFKB activator","Immune Response",NA,"I",NA,"Innate immune response"
"TAP2",-0.452075337120738,7.96153358224936,-3.0618430137114,0.00399780698390531,0.0681444372256587,-2.01073932130881,6891,NA,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","Immune Response",NA,NA,"Antigen Processing","Adaptive immune response, Antigen processing and presentation"
"TAPBP",-0.369574263219129,10.8822026209445,-3.41392393718463,0.00152007366532396,0.0396022521236486,-1.15333508516963,6892,NA,"TAP binding protein (tapasin)","Immune Response",NA,NA,"Antigen Processing","Adaptive immune response, Antigen processing and presentation"
"TCF7",-0.283592872777263,10.5604377791378,-2.82584877666901,0.00743449122756568,0.096321772298783,-2.55486291548209,6932,NA,"transcription factor 7 (T-cell specific, HMG-box)","Immune Response",NA,NA,"Regulation","Transcription factors"
"TGFB1",-0.431120875328652,10.7140000917992,-3.57777486847602,0.00095488140816606,0.0311374372228066,-0.738098807711501,7040,NA,"transforming growth factor, beta 1","Immune Response",NA,NA,"Interleukins, Regulation","Immunosuppression, Interleukins, Negative regulation of immune response"
"THBS1",-0.836468727195991,8.01370777681778,-3.19305727789376,0.00280338700960494,0.0568254123568568,-1.69717706770858,7057,NA,"thrombospondin 1","Immune Response - Cell Type specific",NA,"F","Antigen Processing, Cell Cycle, Regulation","Cell cycle arrest, Cell Type specific, Chronic inflammatory response, Negative regulation of antigen processing"
"TNFRSF1B",-0.319896560576791,10.9386257913083,-2.91641592011899,0.00587608532312135,0.0847512306219426,-2.34920160482964,7133,"CD120b","tumor necrosis factor receptor superfamily, member 1B","Immune Response",NA,NA,"Chemokines, TNF Superfamily","CD molecules, Chemokines and receptors, TNF superfamily members and their receptors"
"XCL2",0.499263034149644,7.67466550546823,2.82948437511136,0.0073651369090156,0.096321772298783,-2.54668576558353,6846,NA,"chemokine (C motif) ligand 2","Immune Response","NK cells",NA,"Chemokines","Chemokines and receptors"
